"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="054317" "南電群益16購04  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "849000" "0" "0" "0" "859000" "10000" "849000" "849000"
="052349" "陽明元大15購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "844000" "0" "0" "0" "1143000" "299000" "844000" "844000"
="060583" "榮運凱基17購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "825000" "0" "0" "0" "833000" "8000" "825000" "825000"
"6531" "愛普*           " "1735250" "957000" "778250" "0" "0" "0" "21000" "0" "21000" "25478" "7647" "6322" "1325" "34153" "10000" "24153" "824728"
="063106" "興富發國泰1A購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "810000" "0" "0" "0" "1174000" "364000" "810000" "810000"
="036417" "長榮航第一16購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "801000" "0" "0" "0" "951000" "150000" "801000" "801000"
"1732" "毛寶            " "1050000" "254000" "796000" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "796000"
="049804" "台塑凱基15購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "795000" "0" "0" "0" "825000" "30000" "795000" "795000"
="052937" "嘉晶富邦17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "792000" "0" "0" "0" "934000" "142000" "792000" "792000"
="045763" "T50反1群益15購04" "0" "0" "0" "0" "0" "0" "0" "0" "0" "788000" "0" "0" "0" "818000" "30000" "788000" "788000"
="064040" "景碩元大18購10  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "772000" "0" "0" "0" "922000" "150000" "772000" "772000"
"3029" "零壹            " "1120000" "401000" "719000" "0" "0" "0" "0" "0" "0" "51000" "51000" "0" "51000" "0" "0" "0" "770000"
="040918" "新纖國票13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "765000" "0" "0" "0" "765000" "0" "765000" "765000"
"2034" "允強            " "1381000" "637000" "744000" "0" "0" "0" "0" "0" "0" "15901" "1001" "1100" "-99" "16000" "0" "16000" "759901"
="061822" "金像電永豐18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "754000" "0" "0" "0" "802000" "48000" "754000" "754000"
="054085" "亞光元大15購07  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "745000" "0" "0" "0" "745000" "0" "745000" "745000"
